,Delivery_Year,OrderSumOCountry,name_y,alpha-3
0,2018.0,761163.0,Indonesia,IDN
1,2018.0,865968.0,India,IND
3,2018.0,1521410.0,Australia,AUS
6,2018.0,1052752.0,China,CHN
10,2018.0,138435.0,Japan,JPN
16,2018.0,110856.0,"Korea, Republic of",KOR
35,2018.0,84024.0,,
48,2016.0,865968.0,India,IND
49,2016.0,599872.0,Türkiye,TUR
50,2016.0,1521410.0,Australia,AUS
52,2016.0,14059.0,Mongolia,MNG
53,2017.0,599872.0,Türkiye,TUR
54,2015.0,865968.0,India,IND
55,2016.0,4385242.0,United States of America,USA
59,2016.0,409032.0,Nigeria,NGA
60,2016.0,177587.0,"Congo, Democratic Republic of the",COD
61,2016.0,45802.0,Senegal,SEN
62,2016.0,201022.0,,
63,2015.0,1862577.0,Germany,DEU
64,2017.0,2590323.0,France,FRA
66,2015.0,379786.0,"Netherlands, Kingdom of the",NLD
67,2017.0,1450047.0,United Kingdom of Great Britain and Northern Ireland,GBR
68,2015.0,1450047.0,United Kingdom of Great Britain and Northern Ireland,GBR
72,2017.0,1862577.0,Germany,DEU
73,2015.0,2590323.0,France,FRA
74,2015.0,495237.0,Guatemala,GTM
75,2017.0,672392.0,El Salvador,SLV
76,2017.0,344832.0,Panama,PAN
77,2015.0,652749.0,Dominican Republic,DOM
78,2015.0,174841.0,,
80,2017.0,652749.0,Dominican Republic,DOM
81,2017.0,309969.0,Colombia,COL
82,2015.0,672392.0,El Salvador,SLV
83,2015.0,661168.0,Honduras,HND
84,2017.0,1433100.0,,
86,2017.0,2368426.0,Mexico,MEX
87,2015.0,2368426.0,Mexico,MEX
92,2015.0,24451.0,Uruguay,URY
93,2017.0,340569.0,Argentina,ARG
94,2015.0,1433100.0,,
97,2017.0,636517.0,Cuba,CUB
104,2015.0,344832.0,Panama,PAN
106,2015.0,636517.0,Cuba,CUB
107,2017.0,661168.0,Honduras,HND
108,2017.0,135449.0,,
111,2017.0,544122.0,Nicaragua,NIC
117,2017.0,495237.0,Guatemala,GTM
119,2015.0,340569.0,Argentina,ARG
122,2017.0,53213.0,Ecuador,ECU
124,2017.0,174841.0,,
137,2017.0,51712.0,Angola,AGO
138,2016.0,44855.0,,
139,2016.0,25429.0,Somalia,SOM
142,2016.0,42993.0,,
143,2016.0,210003.0,Egypt,EGY
145,2017.0,963830.0,,
159,2017.0,762906.0,,
176,2015.0,184602.0,,
181,2015.0,265083.0,Austria,AUT
192,2016.0,168257.0,Canada,CAN
199,2016.0,25601.0,Madagascar,MDG
200,2016.0,91451.0,,
201,2017.0,6136.0,Liberia,LBR
205,2016.0,49789.0,Zambia,ZMB
207,2017.0,210003.0,Egypt,EGY
210,2017.0,201022.0,,
211,2017.0,42993.0,,
213,2016.0,21266.0,,
215,2016.0,194387.0,South Africa,ZAF
220,2017.0,43399.0,Mozambique,MOZ
222,2016.0,68259.0,,
224,2016.0,17101.0,,
229,2016.0,48975.0,Israel,ISR
232,2016.0,277905.0,New Zealand,NZL
235,2016.0,84877.0,,
237,2015.0,171521.0,,
239,2016.0,172940.0,,
242,2016.0,147288.0,,
243,2017.0,1052752.0,China,CHN
244,2016.0,1052752.0,China,CHN
249,2015.0,378626.0,Philippines,PHL
253,2016.0,47729.0,,
254,2015.0,1052752.0,China,CHN
263,2017.0,256369.0,,
264,2017.0,865968.0,India,IND
265,2017.0,761163.0,Indonesia,IDN
266,2016.0,761163.0,Indonesia,IDN
267,2018.0,72172.0,,
270,2016.0,21650.0,,
273,2016.0,14587.0,,
278,2016.0,48302.0,,
279,2016.0,51712.0,Angola,AGO
281,2016.0,45465.0,,
286,2016.0,21114.0,Togo,TGO
299,2017.0,194387.0,South Africa,ZAF
301,2016.0,169943.0,,
303,2015.0,762906.0,,
311,2016.0,111565.0,,
315,2015.0,67625.0,Portugal,PRT
317,2016.0,81775.0,,
326,2015.0,309969.0,Colombia,COL
330,2015.0,25690.0,,
365,2018.0,35659.0,,
402,2018.0,135849.0,,
410,2018.0,149439.0,,
417,2018.0,378626.0,Philippines,PHL
428,2018.0,171521.0,,
430,2018.0,84877.0,,
438,2018.0,95849.0,,
459,2015.0,544122.0,Nicaragua,NIC
469,2015.0,1521410.0,Australia,AUS
509,2016.0,256369.0,,
512,2015.0,149439.0,,
513,2015.0,72172.0,,
514,2015.0,138435.0,Japan,JPN
528,2015.0,963830.0,,
531,2017.0,379786.0,"Netherlands, Kingdom of the",NLD
544,2017.0,81775.0,,
549,2015.0,54509.0,,
557,2016.0,180804.0,Russian Federation,RUS
586,2015.0,105171.0,,
600,2015.0,66035.0,,
604,2016.0,4258.0,,
605,2017.0,184602.0,,
619,2015.0,136426.0,,
659,2017.0,37950.0,,
673,2017.0,130538.0,Chile,CHL
676,2015.0,29667.0,Jamaica,JAM
703,2016.0,378626.0,Philippines,PHL
714,2015.0,84877.0,,
722,2017.0,11843.0,Yemen,YEM
730,2016.0,48306.0,Ghana,GHA
751,2016.0,8504.0,Guinea,GIN
753,2016.0,3451.0,,
766,2017.0,136426.0,,
771,2017.0,54509.0,,
774,2016.0,31047.0,Bulgaria,BGR
803,2017.0,265083.0,Austria,AUT
818,2016.0,138435.0,Japan,JPN
821,2015.0,110856.0,"Korea, Republic of",KOR
831,2015.0,761163.0,Indonesia,IDN
834,2017.0,17169.0,,
837,2017.0,1521410.0,Australia,AUS
871,2016.0,16722.0,Georgia,GEO
887,2017.0,15637.0,Nepal,NPL
910,2017.0,105171.0,,
979,2016.0,265083.0,Austria,AUT
988,2017.0,180804.0,Russian Federation,RUS
1000,2015.0,130538.0,Chile,CHL
1037,2016.0,171521.0,,
1049,2016.0,135849.0,,
1079,2016.0,5031.0,,
1081,2016.0,110856.0,"Korea, Republic of",KOR
1154,2018.0,25134.0,,
1169,2017.0,171521.0,,
1173,2017.0,135849.0,,
1180,2017.0,14059.0,Mongolia,MNG
1186,2017.0,72172.0,,
1197,2017.0,110856.0,"Korea, Republic of",KOR
1198,2017.0,378626.0,Philippines,PHL
1222,2017.0,149439.0,,
1244,2017.0,84024.0,,
1258,2017.0,95849.0,,
1291,2015.0,135449.0,,
1311,2015.0,35659.0,,
1323,2016.0,17868.0,Uganda,UGA
1327,2017.0,409032.0,Nigeria,NGA
1338,2017.0,2853.0,,
1342,2017.0,25601.0,Madagascar,MDG
1348,2017.0,68259.0,,
1411,2017.0,66035.0,,
1426,2016.0,21485.0,,
1461,2015.0,60249.0,,
1488,2016.0,32534.0,,
1507,2017.0,52448.0,,
1632,2017.0,88850.0,,
1682,2017.0,169943.0,,
1737,2016.0,36615.0,,
1740,2016.0,15359.0,,
1757,2017.0,21485.0,,
1825,2015.0,15637.0,Nepal,NPL
1854,2016.0,621.0,,
1857,2016.0,149439.0,,
1870,2015.0,135849.0,,
1878,2016.0,95849.0,,
1881,2016.0,25134.0,,
1888,2016.0,451.0,,
1947,2017.0,168257.0,Canada,CAN
2018,2016.0,1520.0,,
2022,2015.0,52448.0,,
2047,2017.0,67625.0,Portugal,PRT
2137,2017.0,31047.0,Bulgaria,BGR
2147,2016.0,34062.0,,
2181,2017.0,32534.0,,
2187,2015.0,84024.0,,
2247,2017.0,147288.0,,
2289,2016.0,35659.0,,
2303,2017.0,172940.0,,
2359,2018.0,2297.0,Sri Lanka,LKA
2468,2017.0,25429.0,Somalia,SOM
2473,2016.0,34708.0,,
2477,2017.0,177587.0,"Congo, Democratic Republic of the",COD
2483,2017.0,277.0,Eritrea,ERI
2490,2016.0,1306.0,Burkina Faso,BFA
2581,2017.0,5342.0,Costa Rica,CRI
2602,2017.0,21114.0,Togo,TGO
2603,2017.0,14587.0,,
2718,2016.0,72172.0,,
2727,2016.0,84024.0,,
2830,2015.0,88850.0,,
2916,2016.0,19321.0,,
2946,2017.0,60249.0,,
2961,2017.0,111565.0,,
3117,2017.0,25690.0,,
3180,2017.0,24451.0,Uruguay,URY
3236,2017.0,47729.0,,
3258,2016.0,17169.0,,
3344,2017.0,20722.0,Barbados,BRB
3500,2017.0,84877.0,,
3505,2017.0,138435.0,Japan,JPN
3510,2016.0,773.0,,
3562,2016.0,11296.0,,
3676,2017.0,5618.0,,
3717,2015.0,10680.0,,
4093,2017.0,12246.0,,
4124,2017.0,16722.0,Georgia,GEO
4143,2015.0,95849.0,,
4333,2016.0,10629.0,,
4576,2015.0,53213.0,Ecuador,ECU
4665,2015.0,37950.0,,
4707,2017.0,13789.0,Paraguay,PRY
4882,2017.0,29667.0,Jamaica,JAM
5030,2017.0,17901.0,,
5039,2016.0,17901.0,,
5060,2015.0,12387.0,Hong Kong,HKG
5890,2017.0,21852.0,,
6095,2016.0,13580.0,,
6116,2015.0,13789.0,Paraguay,PRY
6384,2016.0,43399.0,Mozambique,MOZ
6984,2017.0,6825.0,Qatar,QAT
7350,2016.0,17808.0,Mali,MLI
7378,2016.0,7252.0,Albania,ALB
7561,2017.0,48306.0,Ghana,GHA
7918,2016.0,6825.0,Qatar,QAT
7940,2017.0,91451.0,,
8720,2016.0,1775.0,,
8812,2016.0,7804.0,,
9145,2016.0,10680.0,,
9146,2015.0,25134.0,,
9201,2016.0,1242.0,,
9245,2016.0,11843.0,Yemen,YEM
9559,2017.0,5587.0,,
9863,2016.0,6795.0,,
9890,2016.0,5679.0,,
10043,2015.0,20722.0,Barbados,BRB
10323,2016.0,287.0,Burundi,BDI
10433,2016.0,2229.0,Montenegro,MNE
10716,2016.0,8202.0,,
10755,2017.0,7252.0,Albania,ALB
10904,2017.0,21650.0,,
11217,2016.0,12246.0,,
11269,2017.0,17101.0,,
11272,2016.0,733.0,,
11327,2015.0,1556.0,,
11751,2016.0,6136.0,Liberia,LBR
11835,2017.0,36615.0,,
12419,2016.0,3344.0,Namibia,NAM
12421,2016.0,4091.0,Mauritania,MRT
12619,2017.0,4258.0,,
13373,2017.0,5940.0,,
13477,2017.0,48975.0,Israel,ISR
14690,2015.0,21852.0,,
15100,2017.0,21266.0,,
15115,2017.0,34708.0,,
15131,2016.0,5587.0,,
15828,2016.0,12387.0,Hong Kong,HKG
16116,2017.0,49789.0,Zambia,ZMB
16274,2017.0,15359.0,,
16355,2015.0,5618.0,,
16419,2017.0,11296.0,,
16443,2017.0,35659.0,,
17026,2016.0,1160.0,,
17079,2017.0,13580.0,,
17495,2015.0,3583.0,Guyana,GUY
17965,2017.0,17868.0,Uganda,UGA
18512,2017.0,17808.0,Mali,MLI
18592,2015.0,1577.0,,
19583,2016.0,4496.0,,
21946,2017.0,45802.0,Senegal,SEN
22552,2016.0,5821.0,,
23055,2016.0,5062.0,Estonia,EST
23423,2017.0,12387.0,Hong Kong,HKG
24943,2015.0,5342.0,Costa Rica,CRI
25005,2015.0,2297.0,Sri Lanka,LKA
25042,2016.0,2689.0,,
25417,2015.0,2012.0,,
26078,2017.0,10629.0,,
26594,2017.0,25134.0,,
28090,2017.0,1775.0,,
29111,2017.0,45465.0,,
32407,2015.0,5940.0,,
32624,2016.0,4591.0,Guinea-Bissau,GNB
35997,2017.0,34062.0,,
37100,2018.0,10680.0,,
37478,2016.0,15637.0,Nepal,NPL
38255,2017.0,5679.0,,
40604,2017.0,2012.0,,
45701,2015.0,1207.0,,
48768,2017.0,2328.0,,
49225,2016.0,1043.0,,
50125,2016.0,2853.0,,
52226,2018.0,12387.0,Hong Kong,HKG
52302,2018.0,621.0,,
55924,2017.0,3583.0,Guyana,GUY
56401,2017.0,1207.0,,
57027,2017.0,19321.0,,
61855,2015.0,2328.0,,
63620,2017.0,2297.0,Sri Lanka,LKA
63742,2017.0,1577.0,,
63922,2016.0,1244.0,,
68521,2016.0,2557.0,,
69463,2018.0,5821.0,,
69531,2017.0,10680.0,,
70689,2016.0,425.0,Armenia,ARM
72732,2017.0,5062.0,Estonia,EST
72904,2017.0,2689.0,,
73772,2016.0,310.0,,
74853,2016.0,325.0,Kuwait,KWT
77518,2017.0,1556.0,,
80825,2016.0,2297.0,Sri Lanka,LKA
81913,2017.0,4591.0,Guinea-Bissau,GNB
86405,2017.0,705.0,,
89545,2017.0,7804.0,,
94591,2015.0,5821.0,,
97200,2017.0,5821.0,,
97235,2016.0,524.0,Chad,TCD
102428,2015.0,14059.0,Mongolia,MNG
108385,2016.0,120.0,Serbia,SRB
120075,2017.0,48302.0,,
124502,2016.0,585.0,,
133532,2015.0,705.0,,
141846,2017.0,8202.0,,
145680,2017.0,1520.0,,
180519,,,,
